year,ncessch,school_name,state_location,lea_name,school_level,school_type,charter,latitude,longitude,school_id
"2018","450339001311","Dent Middle","SC","Richland 02","Middle","Regular school","No","34.062508","-80.955022","01311"
"2018","450117000035","Devon Forest Elementary","SC","Berkeley 01","Primary","Regular school","No","33.038746","-80.075227","00035"
"2018","450213001331","Dewey-Carter Elementary","SC","Florence 01","Primary","Regular school","No","34.087811","-79.769054","01331"
"2018","450069000066","Diamond Hill Elementary","SC","Abbeville 60","Primary","Regular school","No","34.255882","-82.564823","00066"
"2018","450187000388","Dillon County Applied Technology Center","SC","Dillon 80","High","Vocational school","No","34.406226","-79.350719","00388"
"2018","450192000385","Dillon High","SC","Dillon 04","High","Regular school","No","34.434312","-79.355225","00385"
"2018","450192001596","Dillon Middle","SC","Dillon 04","Middle","Regular school","No","34.43325","-79.354045","01596"
"2018","450258000556","Discovery Charter of Lancaster","SC","Lancaster 01","Primary","Regular school","Yes","34.719032","-80.774017","00556"
"2018","450069000012","Dixie High","SC","Abbeville 60","High","Regular school","No","34.327491","-82.388343","00012"
"2018","450390001649","Dobys Bridge Elementary","SC","York 04","Primary","Regular school","No","34.980064","-80.919893","01649"
"2018","450255000760","Dobys Mill Elementary","SC","Kershaw 01","Primary","Regular school","No","34.148133","-80.731835","00760"
"2018","450231000578","Donaldson Career Center","SC","Greenville 01","High","Vocational school","No","34.764598","-82.380013","00578"
"2018","450199000407","Dorchester Career and Technology Center","SC","Dorchester 80","High","Vocational school","No","33.148572","-80.387886","00407"
"2018","450363000815","Dorman High Freshman Campus","SC","Spartanburg 06","Secondary","Regular school","No","34.85716","-81.975273","00815"
"2018","450363001038","Dorman High","SC","Spartanburg 06","High","Regular school","No","34.849447","-81.971507","01038"
"2018","450207000408","Douglas Elementary","SC","Edgefield 01","Primary","Regular school","No","33.732442","-81.836814","00408"
"2018","450321000875","Dover Elementary","SC","Orangeburg 05","Primary","Regular school","No","33.605335","-81.106623","00875"
"2018","450201001673","Dr. Eugene Sires Elementary","SC","Dorchester 02","Primary","Regular school","No","32.981855","-80.155491","01673"
"2018","450231001633","Dr. Phinnize J. Fisher Middle","SC","Greenville 01","Middle","Regular school","No","34.816319","-82.317871","01633"
"2018","450144001167","Drayton Hall Elementary","SC","Charleston 01","Primary","Regular school","No","32.853459","-80.072817","01167"
"2018","450366001710","Drayton Mills Elementary","SC","Spartanburg 07","Primary","Regular school","No","34.97253","-81.899531","01710"
