ncessch,per_pupil_state,American Indian or Alaska Native,Asian,Black,Hispanic,Native Hawaiian or other Pacific Islander,Total,Two or more races,Unknown,White,year,school_name,state_location,lea_name,school_level,school_type,charter,latitude,longitude,school_id
510012002549.0,16671.0,0.0,87.0,303.0,211.0,0.0,834.0,34.0,0.0,199.0,2018,SAMUEL W TUCKER ELEM,VA,ALEXANDRIA CITY PBLC SCHS,Primary,Regular school,No,38.805597,-77.126404,2549
510012000055.0,17150.0,1.0,65.0,144.0,379.0,0.0,684.0,4.0,0.0,91.0,2019,WILLIAM RAMSAY ELEM,VA,ALEXANDRIA CITY PBLC SCHS,Primary,Regular school,No,38.8278,-77.1314,55
510012000055.0,17150.0,1.0,65.0,144.0,379.0,0.0,684.0,4.0,0.0,91.0,2018,WILLIAM RAMSAY ELEM,VA,ALEXANDRIA CITY PBLC SCHS,Primary,Regular school,No,38.827795,-77.131376,55
510015201883.0,11453.0,2.0,2.0,41.0,10.0,0.0,662.0,15.0,0.0,592.0,2019,ALLEGHANY HIGH,VA,ALLEGHANY CO PBLC SCHS,High,Regular school,No,37.7888,-79.9091,1883
510015201883.0,11453.0,2.0,2.0,41.0,10.0,0.0,662.0,15.0,0.0,592.0,2018,ALLEGHANY HIGH,VA,ALLEGHANY CO PBLC SCHS,High,Regular school,No,37.78879,-79.909125,1883
510015201885.0,9814.0,0.0,2.0,1.0,0.0,0.0,220.0,3.0,0.0,214.0,2019,CALLAGHAN ELEM,VA,ALLEGHANY CO PBLC SCHS,Primary,Regular school,No,37.8132,-80.0782,1885
510015201885.0,9814.0,0.0,2.0,1.0,0.0,0.0,220.0,3.0,0.0,214.0,2018,CALLAGHAN ELEM,VA,ALLEGHANY CO PBLC SCHS,Primary,Regular school,No,37.813186,-80.078219,1885
510015201888.0,10660.0,2.0,4.0,19.0,6.0,0.0,474.0,25.0,0.0,418.0,2019,CLIFTON MIDDLE,VA,ALLEGHANY CO PBLC SCHS,Middle,Regular school,No,37.8002,-79.874,1888
510015201888.0,10660.0,2.0,4.0,19.0,6.0,0.0,474.0,25.0,0.0,418.0,2018,CLIFTON MIDDLE,VA,ALLEGHANY CO PBLC SCHS,Middle,Regular school,No,37.800239,-79.87401,1888
510015201938.0,10149.0,1.0,5.0,38.0,12.0,0.0,524.0,37.0,0.0,431.0,2019,MT VIEW ELEM,VA,ALLEGHANY CO PBLC SCHS,Primary,Regular school,No,37.8011,-79.8742,1938
510015201938.0,10149.0,1.0,5.0,38.0,12.0,0.0,524.0,37.0,0.0,431.0,2018,MT VIEW ELEM,VA,ALLEGHANY CO PBLC SCHS,Primary,Regular school,No,37.801086,-79.874206,1938
510015201891.0,11471.0,0.0,1.0,1.0,0.0,0.0,204.0,7.0,0.0,195.0,2019,SHARON ELEM,VA,ALLEGHANY CO PBLC SCHS,Primary,Regular school,No,37.8101,-79.7449,1891
510015201891.0,11471.0,0.0,1.0,1.0,0.0,0.0,204.0,7.0,0.0,195.0,2018,SHARON ELEM,VA,ALLEGHANY CO PBLC SCHS,Primary,Regular school,No,37.810076,-79.744904,1891
510018000062.0,8001.0,3.0,1.0,137.0,29.0,0.0,694.0,43.0,0.0,481.0,2019,AMELIA COUNTY ELEM,VA,AMELIA CO PBLC SCHS,Primary,Regular school,No,37.3307,-77.9845,62
510018000062.0,8001.0,3.0,1.0,137.0,29.0,0.0,694.0,43.0,0.0,481.0,2018,AMELIA COUNTY ELEM,VA,AMELIA CO PBLC SCHS,Primary,Regular school,No,37.330684,-77.984513,62
510018001828.0,10198.0,2.0,2.0,124.0,33.0,0.0,527.0,22.0,0.0,344.0,2019,AMELIA COUNTY HIGH,VA,AMELIA CO PBLC SCHS,High,Regular school,No,37.3311,-77.9876,1828
510018001828.0,10198.0,2.0,2.0,124.0,33.0,0.0,527.0,22.0,0.0,344.0,2018,AMELIA COUNTY HIGH,VA,AMELIA CO PBLC SCHS,High,Regular school,No,37.331069,-77.987649,1828
510018000063.0,9218.0,5.0,1.0,116.0,23.0,0.0,540.0,23.0,0.0,372.0,2019,AMELIA COUNTY MIDDLE,VA,AMELIA CO PBLC SCHS,Middle,Regular school,No,37.3347,-77.99,63
510018000063.0,9218.0,5.0,1.0,116.0,23.0,0.0,540.0,23.0,0.0,372.0,2018,AMELIA COUNTY MIDDLE,VA,AMELIA CO PBLC SCHS,Middle,Regular school,No,37.334705,-77.989995,63
510021000064.0,8818.0,4.0,3.0,110.0,9.0,2.0,444.0,30.0,0.0,286.0,2019,AMELON ELEM,VA,AMHERST CO PBLC SCHS,Primary,Regular school,No,37.47,-79.1174,64
