year,ncessch,school_name,state_location,lea_name,school_level,school_type,charter,enrollment
"2019","450090000106","Whitehall Elementary","SC","Anderson 05","Primary","Regular school","No","511"
"2019","450117000166","Whitesville Elementary","SC","Berkeley 01","Primary","Regular school","No","895"
"2019","450303000059","Whitmire Community School (Elementary)","SC","Newberry 01","Primary","Regular school","No","226"
"2019","450303000820","Whitmire Community School (High)","SC","Newberry 01","High","Regular school","No","300"
"2019","450391000869","Whittaker Elementary","SC","Orangeburg","Primary","Regular school","No","418"
"2019","450249001178","Whittemore Park Middle","SC","Horry 01","Middle","Regular school","No","845"
"2019","450390201061","Wilder Elementary","SC","Sumter 01","Primary","Regular school","No","408"
"2019","450391001370","William J. Clark Middle","SC","Orangeburg","Middle","Regular school","No","739"
"2019","450201001488","William M. Reeves Elementary","SC","Dorchester 02","Primary","Regular school","No","917"
"2019","450000200444","William Memorial Elementary","SC","Dorchester 04","Primary","Regular school","No","678"
"2019","450213000441","Williams Middle","SC","Florence 01","Middle","Regular school","No","726"
"2019","450105000129","Williston-Elko High","SC","Barnwell 29","High","Regular school","No","239"
"2019","450105001327","Williston-Elko Middle","SC","Barnwell 29","Middle","Regular school","No","195"
"2019","450390201062","Willow Drive Elementary","SC","Sumter 01","Primary","Regular school","No","601"
"2019","450342001187","Willow Lane School","SC","Dept of Juvenile Justice","High","Other/alternative school","No","170"
"2019","450213000442","Wilson High","SC","Florence 01","High","Regular school","No","1173"
"2019","450339000972","Windsor Elementary","SC","Richland 02","Primary","Regular school","No","537"
"2019","450201001447","Windsor Hill Arts Infused Elementary","SC","Dorchester 02","Primary","Regular school","No","798"
"2019","450234000592","Woodfields Elementary","SC","Greenwood 50","Primary","Regular school","No","614"
"2019","450231000540","Woodland Elementary","SC","Greenville 01","Primary","Regular school","No","1074"
"2019","450363001033","Woodland Heights Elementary","SC","Spartanburg 06","Primary","Regular school","No","376"
"2019","450000200445","Woodland High","SC","Dorchester 04","High","Regular school","No","641"
"2019","450231000574","Woodmont High","SC","Greenville 01","High","Regular school","No","1775"
"2019","450231001337","Woodmont Middle","SC","Greenville 01","Middle","Regular school","No","814"
"2019","450357001013","Woodruff Elementary","SC","Spartanburg 04","Primary","Regular school","No","633"
"2019","450357001015","Woodruff High","SC","Spartanburg 04","High","Regular school","No","786"
"2019","450357001014","Woodruff Middle","SC","Spartanburg 04","Middle","Regular school","No","645"
"2019","450357001012","Woodruff Primary","SC","Spartanburg 04","Primary","Regular school","No","824"
"2019","450078001325","Wren Elementary","SC","Anderson 01","Primary","Regular school","No","568"
"2019","450078000077","Wren High","SC","Anderson 01","High","Regular school","No","1066"
"2019","450078001203","Wren Middle","SC","Anderson 01","Middle","Regular school","No","908"
"2019","450081000081","Wright Elementary","SC","Anderson 02","Primary","Regular school","No","206"
"2019","450069000010","Wright Middle","SC","Abbeville 60","Middle","Regular school","No","384"
"2019","450381001122","York Comprehensive High","SC","York 01","High","Regular school","No","1499"
"2019","450381001557","York Intermediate","SC","York 01","Middle","Regular school","No","681"
"2019","450381001412","York Middle","SC","York 01","Middle","Regular school","No","804"
"2019","450390101544","York Preparatory Academy","SC","SC Public Charter School District","Other","Regular school","Yes","1656"
"2019","450387001143","York Road Elementary","SC","York 03","Primary","Regular school","No","370"
"2019","450390101589","Youth Leadership Academy","SC","SC Public Charter School District","Middle","Regular school","Yes","145"
"2018","240048001446","A. Mario Loiederman Middle","MD","Montgomery County Public Schools","Middle","Regular school","No","986"
"2018","240009000143","Abbottston Elementary","MD","Baltimore City Public Schools","Primary","Regular school","No","325"
"2018","240039000679","Aberdeen High","MD","Harford County Public Schools","High","Regular school","No","1458"
"2018","240039000678","Aberdeen Middle","MD","Harford County Public Schools","Middle","Regular school","No","1144"
"2018","240039000162","Abingdon Elementary","MD","Harford County Public Schools","Primary","Regular school","No","775"
"2018","240009001381","Academy for College and Career Exploration","MD","Baltimore City Public Schools","High","Regular school","No","541"
"2018","240051001704","Academy of Health Sciences at PGCC","MD","Prince Georges County Public Schools","High","Regular school","No","518"
"2018","240036000662","Accident Elementary","MD","Garrett County Public Schools","Primary","Regular school","No","259"
"2018","240051001686","Accokeek Academy","MD","Prince Georges County Public Schools","Primary","Regular school","No","1589"
"2018","240009000236","Achievement Academy @ Harbor City High","MD","Baltimore City Public Schools","High","Other/alternative school","No","411"
"2018","240051000965","Adelphi Elementary","MD","Prince Georges County Public Schools","Primary","Regular school","No","771"
