year,ncessch,school_name,state_location,lea_name,school_level,school_type,charter,enrollment
"2018","370333003136","Castle Hayne Elementary","NC","New Hanover County Schools","Primary","Regular school","No","564"
"2018","370042103437","Catamount School","NC","Catamount School","Middle","Regular school","No","56"
"2018","370069000278","Catawba Elementary School","NC","Catawba County Schools","Primary","Regular school","No","459"
"2018","370162000671","Catawba Heights Elementary","NC","Gaston County Schools","Primary","Regular school","No","321"
"2018","370069002978","Catawba Rosenwald Education Center","NC","Catawba County Schools","Other","Special education school","No","16"
"2018","370268002163","Catawba Springs Elementary","NC","Lincoln County Schools","Primary","Regular school","No","564"
"2018","370297003000","Cato Middle College High","NC","Charlotte-Mecklenburg Schools","High","Regular school","No","238"
"2018","370096002902","CCCA - Fair Bluff /Southeastern Campuses","NC","Columbus County Schools","High","Regular school","No","333"
"2018","370192000766","Ceasar Cone Elementary","NC","Guilford County Schools","Primary","Regular school","No","503"
"2018","370153002383","Cedar Creek Middle","NC","Franklin County Schools","Middle","Regular school","No","609"
"2018","370472002802","Cedar Fork Elementary","NC","Wake County Schools","Primary","Regular school","No","1004"
"2018","370327001344","Cedar Grove Elementary","NC","Nash-Rocky Mount Schools","Primary","Regular school","No","204"
"2018","370042003135","Cedar Grove Middle","NC","Brunswick County Schools","Middle","Regular school","No","501"
"2018","370441001663","Cedar Ridge Elementary","NC","Surry County Schools","Primary","Regular school","No","372"
"2018","370348002645","Cedar Ridge High","NC","Orange County Schools","High","Regular school","No","1020"
"2018","370231000982","Celeste Henkel Elementary","NC","Iredell-Statesville Schools","Primary","Regular school","No","529"
"2018","370472002555","Centennial Campus Middle","NC","Wake County Schools","Middle","Regular school","No","469"
"2018","370462001806","Central Academy of Technology and Arts","NC","Union County Public Schools","High","Regular school","No","871"
"2018","370053000210","Central Cabarrus High","NC","Cabarrus County Schools","High","Regular school","No","1634"
"2018","370114000459","Central Davidson High","NC","Davidson County Schools","High","Regular school","No","916"
"2018","370114000458","Central Davidson Middle","NC","Davidson County Schools","Middle","Regular school","No","793"
"2018","370117002853","Central Davie Academy","NC","Davie County Schools","High","Other/alternative school","No","14"
"2018","370432000024","Central Elementary","NC","Stanly County Schools","Primary","Regular school","No","547"
"2018","370399001066","Central Elementary","NC","Rockingham County Schools","Primary","Regular school","No","519"
"2018","370354001452","Central Elementary","NC","Elizabeth City-Pasquotank Public Schools","Primary","Regular school","No","404"
"2018","370348001443","Central Elementary","NC","Orange County Schools","Primary","Regular school","No","297"
"2018","370342002895","Central Elementary","NC","Northampton County Schools","Primary","Regular school","No","211"
"2018","370231000983","Central Elementary","NC","Iredell-Statesville Schools","Primary","Regular school","No","371"
"2018","370108000448","Central Elementary","NC","Currituck County Schools","Primary","Regular school","No","232"
"2018","370204001147","Central Haywood High","NC","Haywood County Schools","High","Other/alternative school","No","132"
"2018","370168000719","Central Middle School","NC","Gates County Schools","Middle","Regular school","No","417"
"2018","370492001967","Central Middle","NC","Whiteville City Schools","Middle","Regular school","No","480"
"2018","370441002279","Central Middle","NC","Surry County Schools","Middle","Regular school","No","620"
"2018","370013002665","Central Park School For Child","NC","Central Park School For Children","Primary","Regular school","Yes","632"
"2018","370040603403","Central Wake High School","NC","Central Wake Charter High School","High","Other/alternative school","Yes","214"
"2018","370495002072","Central Wilkes Middle School","NC","Wilkes County Schools","Middle","Regular school","No","650"
"2018","370096000360","Cerro Gordo Elementary","NC","Columbus County Schools","Primary","Regular school","No","344"
"2018","370096000362","Chadbourn Elementary","NC","Columbus County Schools","Primary","Regular school","No","255"
"2018","370096000361","Chadbourn Middle","NC","Columbus County Schools","Missing/not reported","Regular school","No",""
"2018","370069002753","Challenger Early College High","NC","Catawba County Schools","High","Regular school","No","415"
"2018","370390001562","Chaloner Middle School","NC","Roanoke Rapids City Schools","Middle","Regular school","No","666"
"2018","370297002782","Chantilly Montessori","NC","Charlotte-Mecklenburg Schools","Primary","Regular school","No","351"
"2018","370162000672","Chapel Grove Elementary","NC","Gaston County Schools","Primary","Regular school","No","443"
"2018","370072000295","Chapel Hill High","NC","Chapel Hill-Carrboro City Schools","High","Regular school","No","1528"
"2018","370488001948","Charles B Aycock High","NC","Wayne County Public Schools","High","Regular school","No","1164"
"2018","370053002820","Charles E Boger Elementary","NC","Cabarrus County Schools","Primary","Regular school","No","663"
"2018","370264001098","Charles England Elementary School","NC","Lexington City Schools","Primary","Regular school","No","375"
"2018","370502002061","Charles H Darden Middle","NC","Wilson County Schools","Middle","Regular school","No","302"
"2018","370069000279","Charles H Tuttle Elementary","NC","Catawba County Schools","Primary","Regular school","No","456"
"2018","370333002594","Charles P Murray Middle","NC","New Hanover County Schools","Middle","Regular school","No","1105"
"2018","370024000065","Charles W McCrary Elementary","NC","Asheboro City Schools","Primary","Regular school","No","365"
"2018","370348001444","Charles W Stanford Middle","NC","Orange County Schools","Middle","Regular school","No","643"
"2018","370033903293","Charlotte Choice Charter","NC","Charlotte Choice Charter","Primary","Regular school","Yes","106"
"2018","370297003467","Charlotte East Language Academy","NC","Charlotte-Mecklenburg Schools","Primary","Regular school","No","365"
"2018","370297003315","Charlotte Engineering Early College-UNCC","NC","Charlotte-Mecklenburg Schools","High","Regular school","No","349"
"2018","370039103375","Charlotte Lab School","NC","Charlotte Lab School","Primary","Regular school","Yes","632"
"2018","370035703343","Charlotte Learning Academy","NC","Charlotte Learning Academy","High","Regular school","Yes","262"
"2018","370014302924","Charlotte Secondary","NC","Charlotte Secondary School","High","Regular school","Yes","292"
"2018","370297003418","Charlotte Teacher Early College","NC","Charlotte-Mecklenburg Schools","Secondary","Regular school","No","100"
"2018","370297003405","Charlotte-Mecklenburg Virtual HS","NC","Charlotte-Mecklenburg Schools","High","Regular school","No","285"
"2018","370010202506","Charter Day School","NC","Charter Day School","Primary","Regular school","Yes","957"
"2018","370408001636","Chase High School","NC","Rutherford County Schools","High","Regular school","No","725"
"2018","370408001283","Chase Middle School","NC","Rutherford County Schools","Middle","Regular school","No","543"
"2018","370075000306","Chatham Central High","NC","Chatham County Schools","High","Regular school","No","415"
"2018","370002002081","Chatham Charter","NC","Chatham Charter","Other","Regular school","Yes","570"
"2018","370075000307","Chatham Middle","NC","Chatham County Schools","Middle","Regular school","No","601"
"2018","370075003406","Chatham School of Science & Engineering","NC","Chatham County Schools","Secondary","Regular school","No","63"
"2018","370444002186","Cherokee Extension School","NC","Swain County Schools","Other","Regular school","No","98"
"2018","370162000673","Cherryville Elementary","NC","Gaston County Schools","Primary","Regular school","No","417"
"2018","370162000675","Cherryville High","NC","Gaston County Schools","High","Regular school","No","512"
"2018","370048000171","Chesterfield Elementary","NC","Burke County Schools","Missing/not reported","Regular school","No",""
"2018","370438001730","Chestnut Grove Middle","NC","Stokes County Schools","Middle","Regular school","No","664"
"2018","370001201494","Chicod","NC","Pitt County Schools","Primary","Regular school","No","923"
"2018","370268002851","Childers Elementary","NC","Lincoln County Schools","Primary","Regular school","No","458"
"2018","370150000594","Childrens Center","NC","Winston Salem / Forsyth County Schools","Primary","Special education school","No","63"
"2018","370003102323","Childrens Village Academy","NC","Childrens Village Academy","Primary","Regular school","Yes","185"
"2018","370405001612","China Grove Elementary","NC","Rowan-Salisbury Schools","Primary","Regular school","No","584"
"2018","370405001613","China Grove Middle","NC","Rowan-Salisbury Schools","Middle","Regular school","No","507"
"2018","370120001393","Chinquapin Elementary","NC","Duplin County Schools","Primary","Regular school","No","509"
"2018","370033002503","Chocowinity Middle","NC","Beaufort County Schools","Middle","Regular school","No","409"
"2018","370033002106","Chocowinity Primary","NC","Beaufort County Schools","Primary","Regular school","No","533"
"2018","370084000327","Chowan Middle","NC","Edenton-Chowan Schools","Middle","Regular school","No","460"
"2018","370114000461","Churchland Elementary","NC","Davidson County Schools","Primary","Regular school","No","421"
"2018","370004002349","CIS Academy","NC","CIS Academy","Middle","Regular school","Yes","120"
"2018","370327003475","CITI High School","NC","Nash-Rocky Mount Schools","High","Regular school","No","48"
"2018","370126003112","City of Medicine Academy","NC","Durham Public Schools","High","Regular school","No","345"
"2018","370192000794","Clara J Peck Elementary","NC","Guilford County Schools","Primary","Regular school","No","286"
"2018","370069000280","Claremont Elementary","NC","Catawba County Schools","Primary","Regular school","No","421"
"2018","370465003169","Clarke Elementary","NC","Vance County Schools","Primary","Regular school","No","489"
"2018","370039000113","Clarkton School of Discovery","NC","Bladen County Schools","Middle","Regular school","No","255"
"2018","370192000765","Claxton Elementary","NC","Guilford County Schools","Primary","Regular school","No","602"
"2018","370027000072","Claxton Elementary","NC","Asheville City Schools","Primary","Regular school","No","435"
"2018","370237001012","Clayton High","NC","Johnston County Public Schools","High","Regular school","No","1917"
"2018","370237001031","Clayton Middle","NC","Johnston County Public Schools","Middle","Regular school","No","568"
"2018","370297001202","Clear Creek Elementary","NC","Charlotte-Mecklenburg Schools","Primary","Regular school","No","515"
"2018","370210002631","Clear Creek Elementary","NC","Henderson County Schools","Primary","Regular school","No","521"
"2018","370507002027","Clearmont Elementary","NC","Yancey County Schools","Primary","Regular school","No","111"
"2018","370414001667","Clement Elementary","NC","Sampson County Schools","Primary","Regular school","No","342"
"2018","370150000595","Clemmons Elementary","NC","Winston Salem / Forsyth County Schools","Primary","Regular school","No","798"
